Personality_Type,Traits,Sales_Strategy,Messaging_Do,Messaging_Dont,Common_Biases,Trigger,Description,Example,Personality,Objection,Reframe,Framework,Best_For,Style
Dominant (DISC - D),"Decisive, direct, results-driven",Be brief and focus on ROI. Show leadership opportunities.,"Use powerful words, show status gains",Avoid small talk or emotional appeals,"Overconfidence, anchoring",Curiosity,Tease knowledge gaps,What top performers know that others don’t.,Driver,This takes too long.,Here's the fastest way to get results.,PAS,"Skeptic, Empath","Emotional but logical, focused on pain relief"
Dominant (DISC - D),"Decisive, direct, results-driven",Be brief and focus on ROI. Show leadership opportunities.,"Use powerful words, show status gains",Avoid small talk or emotional appeals,"Overconfidence, anchoring",Curiosity,Tease knowledge gaps,What top performers know that others don’t.,Driver,This takes too long.,Here's the fastest way to get results.,StoryBrand,"Expressive, ENFP","Narrative, customer-as-hero"
Dominant (DISC - D),"Decisive, direct, results-driven",Be brief and focus on ROI. Show leadership opportunities.,"Use powerful words, show status gains",Avoid small talk or emotional appeals,"Overconfidence, anchoring",Curiosity,Tease knowledge gaps,What top performers know that others don’t.,Driver,This takes too long.,Here's the fastest way to get results.,FAB,"Compliant, Logical Thinker",Detailed and rational
Dominant (DISC - D),"Decisive, direct, results-driven",Be brief and focus on ROI. Show leadership opportunities.,"Use powerful words, show status gains",Avoid small talk or emotional appeals,"Overconfidence, anchoring",Curiosity,Tease knowledge gaps,What top performers know that others don’t.,Driver,This takes too long.,Here's the fastest way to get results.,4P,"Influencer, Adventurer","Vivid, benefit-driven with a strong CTA"
Dominant (DISC - D),"Decisive, direct, results-driven",Be brief and focus on ROI. Show leadership opportunities.,"Use powerful words, show status gains",Avoid small talk or emotional appeals,"Overconfidence, anchoring",Curiosity,Tease knowledge gaps,What top performers know that others don’t.,Expressive,I’m not excited about this.,Let’s explore a more inspiring approach.,AIDA,"Driver, Logical Thinker","Clear, structured, action-oriented"
Dominant (DISC - D),"Decisive, direct, results-driven",Be brief and focus on ROI. Show leadership opportunities.,"Use powerful words, show status gains",Avoid small talk or emotional appeals,"Overconfidence, anchoring",Curiosity,Tease knowledge gaps,What top performers know that others don’t.,Expressive,I’m not excited about this.,Let’s explore a more inspiring approach.,PAS,"Skeptic, Empath","Emotional but logical, focused on pain relief"
Dominant (DISC - D),"Decisive, direct, results-driven",Be brief and focus on ROI. Show leadership opportunities.,"Use powerful words, show status gains",Avoid small talk or emotional appeals,"Overconfidence, anchoring",Curiosity,Tease knowledge gaps,What top performers know that others don’t.,Expressive,I’m not excited about this.,Let’s explore a more inspiring approach.,StoryBrand,"Expressive, ENFP","Narrative, customer-as-hero"
Dominant (DISC - D),"Decisive, direct, results-driven",Be brief and focus on ROI. Show leadership opportunities.,"Use powerful words, show status gains",Avoid small talk or emotional appeals,"Overconfidence, anchoring",Curiosity,Tease knowledge gaps,What top performers know that others don’t.,Expressive,I’m not excited about this.,Let’s explore a more inspiring approach.,FAB,"Compliant, Logical Thinker",Detailed and rational
Dominant (DISC - D),"Decisive, direct, results-driven",Be brief and focus on ROI. Show leadership opportunities.,"Use powerful words, show status gains",Avoid small talk or emotional appeals,"Overconfidence, anchoring",Curiosity,Tease knowledge gaps,What top performers know that others don’t.,Expressive,I’m not excited about this.,Let’s explore a more inspiring approach.,4P,"Influencer, Adventurer","Vivid, benefit-driven with a strong CTA"
Dominant (DISC - D),"Decisive, direct, results-driven",Be brief and focus on ROI. Show leadership opportunities.,"Use powerful words, show status gains",Avoid small talk or emotional appeals,"Overconfidence, anchoring",Curiosity,Tease knowledge gaps,What top performers know that others don’t.,Logical Thinker,There’s not enough data.,Here’s the full report and breakdown.,AIDA,"Driver, Logical Thinker","Clear, structured, action-oriented"
Dominant (DISC - D),"Decisive, direct, results-driven",Be brief and focus on ROI. Show leadership opportunities.,"Use powerful words, show status gains",Avoid small talk or emotional appeals,"Overconfidence, anchoring",Curiosity,Tease knowledge gaps,What top performers know that others don’t.,Logical Thinker,There’s not enough data.,Here’s the full report and breakdown.,PAS,"Skeptic, Empath","Emotional but logical, focused on pain relief"
Dominant (DISC - D),"Decisive, direct, results-driven",Be brief and focus on ROI. Show leadership opportunities.,"Use powerful words, show status gains",Avoid small talk or emotional appeals,"Overconfidence, anchoring",Curiosity,Tease knowledge gaps,What top performers know that others don’t.,Logical Thinker,There’s not enough data.,Here’s the full report and breakdown.,StoryBrand,"Expressive, ENFP","Narrative, customer-as-hero"
Dominant (DISC - D),"Decisive, direct, results-driven",Be brief and focus on ROI. Show leadership opportunities.,"Use powerful words, show status gains",Avoid small talk or emotional appeals,"Overconfidence, anchoring",Curiosity,Tease knowledge gaps,What top performers know that others don’t.,Logical Thinker,There’s not enough data.,Here’s the full report and breakdown.,FAB,"Compliant, Logical Thinker",Detailed and rational
Dominant (DISC - D),"Decisive, direct, results-driven",Be brief and focus on ROI. Show leadership opportunities.,"Use powerful words, show status gains",Avoid small talk or emotional appeals,"Overconfidence, anchoring",Curiosity,Tease knowledge gaps,What top performers know that others don’t.,Logical Thinker,There’s not enough data.,Here’s the full report and breakdown.,4P,"Influencer, Adventurer","Vivid, benefit-driven with a strong CTA"
Dominant (DISC - D),"Decisive, direct, results-driven",Be brief and focus on ROI. Show leadership opportunities.,"Use powerful words, show status gains",Avoid small talk or emotional appeals,"Overconfidence, anchoring",Curiosity,Tease knowledge gaps,What top performers know that others don’t.,Empath,This feels too aggressive.,Let’s make sure it aligns with your values.,AIDA,"Driver, Logical Thinker","Clear, structured, action-oriented"
Dominant (DISC - D),"Decisive, direct, results-driven",Be brief and focus on ROI. Show leadership opportunities.,"Use powerful words, show status gains",Avoid small talk or emotional appeals,"Overconfidence, anchoring",Curiosity,Tease knowledge gaps,What top performers know that others don’t.,Empath,This feels too aggressive.,Let’s make sure it aligns with your values.,PAS,"Skeptic, Empath","Emotional but logical, focused on pain relief"
Dominant (DISC - D),"Decisive, direct, results-driven",Be brief and focus on ROI. Show leadership opportunities.,"Use powerful words, show status gains",Avoid small talk or emotional appeals,"Overconfidence, anchoring",Curiosity,Tease knowledge gaps,What top performers know that others don’t.,Empath,This feels too aggressive.,Let’s make sure it aligns with your values.,StoryBrand,"Expressive, ENFP","Narrative, customer-as-hero"
Dominant (DISC - D),"Decisive, direct, results-driven",Be brief and focus on ROI. Show leadership opportunities.,"Use powerful words, show status gains",Avoid small talk or emotional appeals,"Overconfidence, anchoring",Curiosity,Tease knowledge gaps,What top performers know that others don’t.,Empath,This feels too aggressive.,Let’s make sure it aligns with your values.,FAB,"Compliant, Logical Thinker",Detailed and rational
Dominant (DISC - D),"Decisive, direct, results-driven",Be brief and focus on ROI. Show leadership opportunities.,"Use powerful words, show status gains",Avoid small talk or emotional appeals,"Overconfidence, anchoring",Curiosity,Tease knowledge gaps,What top performers know that others don’t.,Empath,This feels too aggressive.,Let’s make sure it aligns with your values.,4P,"Influencer, Adventurer","Vivid, benefit-driven with a strong CTA"
Dominant (DISC - D),"Decisive, direct, results-driven",Be brief and focus on ROI. Show leadership opportunities.,"Use powerful words, show status gains",Avoid small talk or emotional appeals,"Overconfidence, anchoring",Scarcity,Use time or quantity limits,Only 3 seats left — reserve yours now.,Skeptic,How do I know this works?,Let me show you the case studies and proof.,AIDA,"Driver, Logical Thinker","Clear, structured, action-oriented"
Dominant (DISC - D),"Decisive, direct, results-driven",Be brief and focus on ROI. Show leadership opportunities.,"Use powerful words, show status gains",Avoid small talk or emotional appeals,"Overconfidence, anchoring",Scarcity,Use time or quantity limits,Only 3 seats left — reserve yours now.,Skeptic,How do I know this works?,Let me show you the case studies and proof.,PAS,"Skeptic, Empath","Emotional but logical, focused on pain relief"
Dominant (DISC - D),"Decisive, direct, results-driven",Be brief and focus on ROI. Show leadership opportunities.,"Use powerful words, show status gains",Avoid small talk or emotional appeals,"Overconfidence, anchoring",Scarcity,Use time or quantity limits,Only 3 seats left — reserve yours now.,Skeptic,How do I know this works?,Let me show you the case studies and proof.,StoryBrand,"Expressive, ENFP","Narrative, customer-as-hero"
Dominant (DISC - D),"Decisive, direct, results-driven",Be brief and focus on ROI. Show leadership opportunities.,"Use powerful words, show status gains",Avoid small talk or emotional appeals,"Overconfidence, anchoring",Scarcity,Use time or quantity limits,Only 3 seats left — reserve yours now.,Skeptic,How do I know this works?,Let me show you the case studies and proof.,FAB,"Compliant, Logical Thinker",Detailed and rational
Dominant (DISC - D),"Decisive, direct, results-driven",Be brief and focus on ROI. Show leadership opportunities.,"Use powerful words, show status gains",Avoid small talk or emotional appeals,"Overconfidence, anchoring",Scarcity,Use time or quantity limits,Only 3 seats left — reserve yours now.,Skeptic,How do I know this works?,Let me show you the case studies and proof.,4P,"Influencer, Adventurer","Vivid, benefit-driven with a strong CTA"
Dominant (DISC - D),"Decisive, direct, results-driven",Be brief and focus on ROI. Show leadership opportunities.,"Use powerful words, show status gains",Avoid small talk or emotional appeals,"Overconfidence, anchoring",Scarcity,Use time or quantity limits,Only 3 seats left — reserve yours now.,Amiable,I’m not ready to decide.,No problem — I’ll support you whenever you're ready.,AIDA,"Driver, Logical Thinker","Clear, structured, action-oriented"
Dominant (DISC - D),"Decisive, direct, results-driven",Be brief and focus on ROI. Show leadership opportunities.,"Use powerful words, show status gains",Avoid small talk or emotional appeals,"Overconfidence, anchoring",Scarcity,Use time or quantity limits,Only 3 seats left — reserve yours now.,Amiable,I’m not ready to decide.,No problem — I’ll support you whenever you're ready.,PAS,"Skeptic, Empath","Emotional but logical, focused on pain relief"
Dominant (DISC - D),"Decisive, direct, results-driven",Be brief and focus on ROI. Show leadership opportunities.,"Use powerful words, show status gains",Avoid small talk or emotional appeals,"Overconfidence, anchoring",Scarcity,Use time or quantity limits,Only 3 seats left — reserve yours now.,Amiable,I’m not ready to decide.,No problem — I’ll support you whenever you're ready.,StoryBrand,"Expressive, ENFP","Narrative, customer-as-hero"
Dominant (DISC - D),"Decisive, direct, results-driven",Be brief and focus on ROI. Show leadership opportunities.,"Use powerful words, show status gains",Avoid small talk or emotional appeals,"Overconfidence, anchoring",Scarcity,Use time or quantity limits,Only 3 seats left — reserve yours now.,Amiable,I’m not ready to decide.,No problem — I’ll support you whenever you're ready.,FAB,"Compliant, Logical Thinker",Detailed and rational
Dominant (DISC - D),"Decisive, direct, results-driven",Be brief and focus on ROI. Show leadership opportunities.,"Use powerful words, show status gains",Avoid small talk or emotional appeals,"Overconfidence, anchoring",Scarcity,Use time or quantity limits,Only 3 seats left — reserve yours now.,Amiable,I’m not ready to decide.,No problem — I’ll support you whenever you're ready.,4P,"Influencer, Adventurer","Vivid, benefit-driven with a strong CTA"
Dominant (DISC - D),"Decisive, direct, results-driven",Be brief and focus on ROI. Show leadership opportunities.,"Use powerful words, show status gains",Avoid small talk or emotional appeals,"Overconfidence, anchoring",Scarcity,Use time or quantity limits,Only 3 seats left — reserve yours now.,Driver,This takes too long.,Here's the fastest way to get results.,AIDA,"Driver, Logical Thinker","Clear, structured, action-oriented"
Dominant (DISC - D),"Decisive, direct, results-driven",Be brief and focus on ROI. Show leadership opportunities.,"Use powerful words, show status gains",Avoid small talk or emotional appeals,"Overconfidence, anchoring",Scarcity,Use time or quantity limits,Only 3 seats left — reserve yours now.,Driver,This takes too long.,Here's the fastest way to get results.,PAS,"Skeptic, Empath","Emotional but logical, focused on pain relief"
Dominant (DISC - D),"Decisive, direct, results-driven",Be brief and focus on ROI. Show leadership opportunities.,"Use powerful words, show status gains",Avoid small talk or emotional appeals,"Overconfidence, anchoring",Scarcity,Use time or quantity limits,Only 3 seats left — reserve yours now.,Driver,This takes too long.,Here's the fastest way to get results.,StoryBrand,"Expressive, ENFP","Narrative, customer-as-hero"
Dominant (DISC - D),"Decisive, direct, results-driven",Be brief and focus on ROI. Show leadership opportunities.,"Use powerful words, show status gains",Avoid small talk or emotional appeals,"Overconfidence, anchoring",Scarcity,Use time or quantity limits,Only 3 seats left — reserve yours now.,Driver,This takes too long.,Here's the fastest way to get results.,FAB,"Compliant, Logical Thinker",Detailed and rational
Dominant (DISC - D),"Decisive, direct, results-driven",Be brief and focus on ROI. Show leadership opportunities.,"Use powerful words, show status gains",Avoid small talk or emotional appeals,"Overconfidence, anchoring",Scarcity,Use time or quantity limits,Only 3 seats left — reserve yours now.,Driver,This takes too long.,Here's the fastest way to get results.,4P,"Influencer, Adventurer","Vivid, benefit-driven with a strong CTA"
Dominant (DISC - D),"Decisive, direct, results-driven",Be brief and focus on ROI. Show leadership opportunities.,"Use powerful words, show status gains",Avoid small talk or emotional appeals,"Overconfidence, anchoring",Scarcity,Use time or quantity limits,Only 3 seats left — reserve yours now.,Expressive,I’m not excited about this.,Let’s explore a more inspiring approach.,AIDA,"Driver, Logical Thinker","Clear, structured, action-oriented"
Dominant (DISC - D),"Decisive, direct, results-driven",Be brief and focus on ROI. Show leadership opportunities.,"Use powerful words, show status gains",Avoid small talk or emotional appeals,"Overconfidence, anchoring",Scarcity,Use time or quantity limits,Only 3 seats left — reserve yours now.,Expressive,I’m not excited about this.,Let’s explore a more inspiring approach.,PAS,"Skeptic, Empath","Emotional but logical, focused on pain relief"
Dominant (DISC - D),"Decisive, direct, results-driven",Be brief and focus on ROI. Show leadership opportunities.,"Use powerful words, show status gains",Avoid small talk or emotional appeals,"Overconfidence, anchoring",Scarcity,Use time or quantity limits,Only 3 seats left — reserve yours now.,Expressive,I’m not excited about this.,Let’s explore a more inspiring approach.,StoryBrand,"Expressive, ENFP","Narrative, customer-as-hero"
Dominant (DISC - D),"Decisive, direct, results-driven",Be brief and focus on ROI. Show leadership opportunities.,"Use powerful words, show status gains",Avoid small talk or emotional appeals,"Overconfidence, anchoring",Scarcity,Use time or quantity limits,Only 3 seats left — reserve yours now.,Expressive,I’m not excited about this.,Let’s explore a more inspiring approach.,FAB,"Compliant, Logical Thinker",Detailed and rational
Dominant (DISC - D),"Decisive, direct, results-driven",Be brief and focus on ROI. Show leadership opportunities.,"Use powerful words, show status gains",Avoid small talk or emotional appeals,"Overconfidence, anchoring",Scarcity,Use time or quantity limits,Only 3 seats left — reserve yours now.,Expressive,I’m not excited about this.,Let’s explore a more inspiring approach.,4P,"Influencer, Adventurer","Vivid, benefit-driven with a strong CTA"
Dominant (DISC - D),"Decisive, direct, results-driven",Be brief and focus on ROI. Show leadership opportunities.,"Use powerful words, show status gains",Avoid small talk or emotional appeals,"Overconfidence, anchoring",Scarcity,Use time or quantity limits,Only 3 seats left — reserve yours now.,Logical Thinker,There’s not enough data.,Here’s the full report and breakdown.,AIDA,"Driver, Logical Thinker","Clear, structured, action-oriented"
Dominant (DISC - D),"Decisive, direct, results-driven",Be brief and focus on ROI. Show leadership opportunities.,"Use powerful words, show status gains",Avoid small talk or emotional appeals,"Overconfidence, anchoring",Scarcity,Use time or quantity limits,Only 3 seats left — reserve yours now.,Logical Thinker,There’s not enough data.,Here’s the full report and breakdown.,PAS,"Skeptic, Empath","Emotional but logical, focused on pain relief"
Dominant (DISC - D),"Decisive, direct, results-driven",Be brief and focus on ROI. Show leadership opportunities.,"Use powerful words, show status gains",Avoid small talk or emotional appeals,"Overconfidence, anchoring",Scarcity,Use time or quantity limits,Only 3 seats left — reserve yours now.,Logical Thinker,There’s not enough data.,Here’s the full report and breakdown.,StoryBrand,"Expressive, ENFP","Narrative, customer-as-hero"
Dominant (DISC - D),"Decisive, direct, results-driven",Be brief and focus on ROI. Show leadership opportunities.,"Use powerful words, show status gains",Avoid small talk or emotional appeals,"Overconfidence, anchoring",Scarcity,Use time or quantity limits,Only 3 seats left — reserve yours now.,Logical Thinker,There’s not enough data.,Here’s the full report and breakdown.,FAB,"Compliant, Logical Thinker",Detailed and rational
Dominant (DISC - D),"Decisive, direct, results-driven",Be brief and focus on ROI. Show leadership opportunities.,"Use powerful words, show status gains",Avoid small talk or emotional appeals,"Overconfidence, anchoring",Scarcity,Use time or quantity limits,Only 3 seats left — reserve yours now.,Logical Thinker,There’s not enough data.,Here’s the full report and breakdown.,4P,"Influencer, Adventurer","Vivid, benefit-driven with a strong CTA"
Dominant (DISC - D),"Decisive, direct, results-driven",Be brief and focus on ROI. Show leadership opportunities.,"Use powerful words, show status gains",Avoid small talk or emotional appeals,"Overconfidence, anchoring",Scarcity,Use time or quantity limits,Only 3 seats left — reserve yours now.,Empath,This feels too aggressive.,Let’s make sure it aligns with your values.,AIDA,"Driver, Logical Thinker","Clear, structured, action-oriented"
Dominant (DISC - D),"Decisive, direct, results-driven",Be brief and focus on ROI. Show leadership opportunities.,"Use powerful words, show status gains",Avoid small talk or emotional appeals,"Overconfidence, anchoring",Scarcity,Use time or quantity limits,Only 3 seats left — reserve yours now.,Empath,This feels too aggressive.,Let’s make sure it aligns with your values.,PAS,"Skeptic, Empath","Emotional but logical, focused on pain relief"
Dominant (DISC - D),"Decisive, direct, results-driven",Be brief and focus on ROI. Show leadership opportunities.,"Use powerful words, show status gains",Avoid small talk or emotional appeals,"Overconfidence, anchoring",Scarcity,Use time or quantity limits,Only 3 seats left — reserve yours now.,Empath,This feels too aggressive.,Let’s make sure it aligns with your values.,StoryBrand,"Expressive, ENFP","Narrative, customer-as-hero"
Dominant (DISC - D),"Decisive, direct, results-driven",Be brief and focus on ROI. Show leadership opportunities.,"Use powerful words, show status gains",Avoid small talk or emotional appeals,"Overconfidence, anchoring",Scarcity,Use time or quantity limits,Only 3 seats left — reserve yours now.,Empath,This feels too aggressive.,Let’s make sure it aligns with your values.,FAB,"Compliant, Logical Thinker",Detailed and rational
Dominant (DISC - D),"Decisive, direct, results-driven",Be brief and focus on ROI. Show leadership opportunities.,"Use powerful words, show status gains",Avoid small talk or emotional appeals,"Overconfidence, anchoring",Scarcity,Use time or quantity limits,Only 3 seats left — reserve yours now.,Empath,This feels too aggressive.,Let’s make sure it aligns with your values.,4P,"Influencer, Adventurer","Vivid, benefit-driven with a strong CTA"
Dominant (DISC - D),"Decisive, direct, results-driven",Be brief and focus on ROI. Show leadership opportunities.,"Use powerful words, show status gains",Avoid small talk or emotional appeals,"Overconfidence, anchoring",Authority,Use expert validation,Backed by Harvard research.,Skeptic,How do I know this works?,Let me show you the case studies and proof.,AIDA,"Driver, Logical Thinker","Clear, structured, action-oriented"
Dominant (DISC - D),"Decisive, direct, results-driven",Be brief and focus on ROI. Show leadership opportunities.,"Use powerful words, show status gains",Avoid small talk or emotional appeals,"Overconfidence, anchoring",Authority,Use expert validation,Backed by Harvard research.,Skeptic,How do I know this works?,Let me show you the case studies and proof.,PAS,"Skeptic, Empath","Emotional but logical, focused on pain relief"
Dominant (DISC - D),"Decisive, direct, results-driven",Be brief and focus on ROI. Show leadership opportunities.,"Use powerful words, show status gains",Avoid small talk or emotional appeals,"Overconfidence, anchoring",Authority,Use expert validation,Backed by Harvard research.,Skeptic,How do I know this works?,Let me show you the case studies and proof.,StoryBrand,"Expressive, ENFP","Narrative, customer-as-hero"
Dominant (DISC - D),"Decisive, direct, results-driven",Be brief and focus on ROI. Show leadership opportunities.,"Use powerful words, show status gains",Avoid small talk or emotional appeals,"Overconfidence, anchoring",Authority,Use expert validation,Backed by Harvard research.,Skeptic,How do I know this works?,Let me show you the case studies and proof.,FAB,"Compliant, Logical Thinker",Detailed and rational
Dominant (DISC - D),"Decisive, direct, results-driven",Be brief and focus on ROI. Show leadership opportunities.,"Use powerful words, show status gains",Avoid small talk or emotional appeals,"Overconfidence, anchoring",Authority,Use expert validation,Backed by Harvard research.,Skeptic,How do I know this works?,Let me show you the case studies and proof.,4P,"Influencer, Adventurer","Vivid, benefit-driven with a strong CTA"
Dominant (DISC - D),"Decisive, direct, results-driven",Be brief and focus on ROI. Show leadership opportunities.,"Use powerful words, show status gains",Avoid small talk or emotional appeals,"Overconfidence, anchoring",Authority,Use expert validation,Backed by Harvard research.,Amiable,I’m not ready to decide.,No problem — I’ll support you whenever you're ready.,AIDA,"Driver, Logical Thinker","Clear, structured, action-oriented"
Dominant (DISC - D),"Decisive, direct, results-driven",Be brief and focus on ROI. Show leadership opportunities.,"Use powerful words, show status gains",Avoid small talk or emotional appeals,"Overconfidence, anchoring",Authority,Use expert validation,Backed by Harvard research.,Amiable,I’m not ready to decide.,No problem — I’ll support you whenever you're ready.,PAS,"Skeptic, Empath","Emotional but logical, focused on pain relief"
Dominant (DISC - D),"Decisive, direct, results-driven",Be brief and focus on ROI. Show leadership opportunities.,"Use powerful words, show status gains",Avoid small talk or emotional appeals,"Overconfidence, anchoring",Authority,Use expert validation,Backed by Harvard research.,Amiable,I’m not ready to decide.,No problem — I’ll support you whenever you're ready.,StoryBrand,"Expressive, ENFP","Narrative, customer-as-hero"
Dominant (DISC - D),"Decisive, direct, results-driven",Be brief and focus on ROI. Show leadership opportunities.,"Use powerful words, show status gains",Avoid small talk or emotional appeals,"Overconfidence, anchoring",Authority,Use expert validation,Backed by Harvard research.,Amiable,I’m not ready to decide.,No problem — I’ll support you whenever you're ready.,FAB,"Compliant, Logical Thinker",Detailed and rational
Dominant (DISC - D),"Decisive, direct, results-driven",Be brief and focus on ROI. Show leadership opportunities.,"Use powerful words, show status gains",Avoid small talk or emotional appeals,"Overconfidence, anchoring",Authority,Use expert validation,Backed by Harvard research.,Amiable,I’m not ready to decide.,No problem — I’ll support you whenever you're ready.,4P,"Influencer, Adventurer","Vivid, benefit-driven with a strong CTA"
Dominant (DISC - D),"Decisive, direct, results-driven",Be brief and focus on ROI. Show leadership opportunities.,"Use powerful words, show status gains",Avoid small talk or emotional appeals,"Overconfidence, anchoring",Authority,Use expert validation,Backed by Harvard research.,Driver,This takes too long.,Here's the fastest way to get results.,AIDA,"Driver, Logical Thinker","Clear, structured, action-oriented"
Dominant (DISC - D),"Decisive, direct, results-driven",Be brief and focus on ROI. Show leadership opportunities.,"Use powerful words, show status gains",Avoid small talk or emotional appeals,"Overconfidence, anchoring",Authority,Use expert validation,Backed by Harvard research.,Driver,This takes too long.,Here's the fastest way to get results.,PAS,"Skeptic, Empath","Emotional but logical, focused on pain relief"
Dominant (DISC - D),"Decisive, direct, results-driven",Be brief and focus on ROI. Show leadership opportunities.,"Use powerful words, show status gains",Avoid small talk or emotional appeals,"Overconfidence, anchoring",Authority,Use expert validation,Backed by Harvard research.,Driver,This takes too long.,Here's the fastest way to get results.,StoryBrand,"Expressive, ENFP","Narrative, customer-as-hero"
Dominant (DISC - D),"Decisive, direct, results-driven",Be brief and focus on ROI. Show leadership opportunities.,"Use powerful words, show status gains",Avoid small talk or emotional appeals,"Overconfidence, anchoring",Authority,Use expert validation,Backed by Harvard research.,Driver,This takes too long.,Here's the fastest way to get results.,FAB,"Compliant, Logical Thinker",Detailed and rational
Dominant (DISC - D),"Decisive, direct, results-driven",Be brief and focus on ROI. Show leadership opportunities.,"Use powerful words, show status gains",Avoid small talk or emotional appeals,"Overconfidence, anchoring",Authority,Use expert validation,Backed by Harvard research.,Driver,This takes too long.,Here's the fastest way to get results.,4P,"Influencer, Adventurer","Vivid, benefit-driven with a strong CTA"
Dominant (DISC - D),"Decisive, direct, results-driven",Be brief and focus on ROI. Show leadership opportunities.,"Use powerful words, show status gains",Avoid small talk or emotional appeals,"Overconfidence, anchoring",Authority,Use expert validation,Backed by Harvard research.,Expressive,I’m not excited about this.,Let’s explore a more inspiring approach.,AIDA,"Driver, Logical Thinker","Clear, structured, action-oriented"
Dominant (DISC - D),"Decisive, direct, results-driven",Be brief and focus on ROI. Show leadership opportunities.,"Use powerful words, show status gains",Avoid small talk or emotional appeals,"Overconfidence, anchoring",Authority,Use expert validation,Backed by Harvard research.,Expressive,I’m not excited about this.,Let’s explore a more inspiring approach.,PAS,"Skeptic, Empath","Emotional but logical, focused on pain relief"
Dominant (DISC - D),"Decisive, direct, results-driven",Be brief and focus on ROI. Show leadership opportunities.,"Use powerful words, show status gains",Avoid small talk or emotional appeals,"Overconfidence, anchoring",Authority,Use expert validation,Backed by Harvard research.,Expressive,I’m not excited about this.,Let’s explore a more inspiring approach.,StoryBrand,"Expressive, ENFP","Narrative, customer-as-hero"
Dominant (DISC - D),"Decisive, direct, results-driven",Be brief and focus on ROI. Show leadership opportunities.,"Use powerful words, show status gains",Avoid small talk or emotional appeals,"Overconfidence, anchoring",Authority,Use expert validation,Backed by Harvard research.,Expressive,I’m not excited about this.,Let’s explore a more inspiring approach.,FAB,"Compliant, Logical Thinker",Detailed and rational
Dominant (DISC - D),"Decisive, direct, results-driven",Be brief and focus on ROI. Show leadership opportunities.,"Use powerful words, show status gains",Avoid small talk or emotional appeals,"Overconfidence, anchoring",Authority,Use expert validation,Backed by Harvard research.,Expressive,I’m not excited about this.,Let’s explore a more inspiring approach.,4P,"Influencer, Adventurer","Vivid, benefit-driven with a strong CTA"
Dominant (DISC - D),"Decisive, direct, results-driven",Be brief and focus on ROI. Show leadership opportunities.,"Use powerful words, show status gains",Avoid small talk or emotional appeals,"Overconfidence, anchoring",Authority,Use expert validation,Backed by Harvard research.,Logical Thinker,There’s not enough data.,Here’s the full report and breakdown.,AIDA,"Driver, Logical Thinker","Clear, structured, action-oriented"
Dominant (DISC - D),"Decisive, direct, results-driven",Be brief and focus on ROI. Show leadership opportunities.,"Use powerful words, show status gains",Avoid small talk or emotional appeals,"Overconfidence, anchoring",Authority,Use expert validation,Backed by Harvard research.,Logical Thinker,There’s not enough data.,Here’s the full report and breakdown.,PAS,"Skeptic, Empath","Emotional but logical, focused on pain relief"
Dominant (DISC - D),"Decisive, direct, results-driven",Be brief and focus on ROI. Show leadership opportunities.,"Use powerful words, show status gains",Avoid small talk or emotional appeals,"Overconfidence, anchoring",Authority,Use expert validation,Backed by Harvard research.,Logical Thinker,There’s not enough data.,Here’s the full report and breakdown.,StoryBrand,"Expressive, ENFP","Narrative, customer-as-hero"
Dominant (DISC - D),"Decisive, direct, results-driven",Be brief and focus on ROI. Show leadership opportunities.,"Use powerful words, show status gains",Avoid small talk or emotional appeals,"Overconfidence, anchoring",Authority,Use expert validation,Backed by Harvard research.,Logical Thinker,There’s not enough data.,Here’s the full report and breakdown.,FAB,"Compliant, Logical Thinker",Detailed and rational
Dominant (DISC - D),"Decisive, direct, results-driven",Be brief and focus on ROI. Show leadership opportunities.,"Use powerful words, show status gains",Avoid small talk or emotional appeals,"Overconfidence, anchoring",Authority,Use expert validation,Backed by Harvard research.,Logical Thinker,There’s not enough data.,Here’s the full report and breakdown.,4P,"Influencer, Adventurer","Vivid, benefit-driven with a strong CTA"
Dominant (DISC - D),"Decisive, direct, results-driven",Be brief and focus on ROI. Show leadership opportunities.,"Use powerful words, show status gains",Avoid small talk or emotional appeals,"Overconfidence, anchoring",Authority,Use expert validation,Backed by Harvard research.,Empath,This feels too aggressive.,Let’s make sure it aligns with your values.,AIDA,"Driver, Logical Thinker","Clear, structured, action-oriented"
Dominant (DISC - D),"Decisive, direct, results-driven",Be brief and focus on ROI. Show leadership opportunities.,"Use powerful words, show status gains",Avoid small talk or emotional appeals,"Overconfidence, anchoring",Authority,Use expert validation,Backed by Harvard research.,Empath,This feels too aggressive.,Let’s make sure it aligns with your values.,PAS,"Skeptic, Empath","Emotional but logical, focused on pain relief"
Dominant (DISC - D),"Decisive, direct, results-driven",Be brief and focus on ROI. Show leadership opportunities.,"Use powerful words, show status gains",Avoid small talk or emotional appeals,"Overconfidence, anchoring",Authority,Use expert validation,Backed by Harvard research.,Empath,This feels too aggressive.,Let’s make sure it aligns with your values.,StoryBrand,"Expressive, ENFP","Narrative, customer-as-hero"
Dominant (DISC - D),"Decisive, direct, results-driven",Be brief and focus on ROI. Show leadership opportunities.,"Use powerful words, show status gains",Avoid small talk or emotional appeals,"Overconfidence, anchoring",Authority,Use expert validation,Backed by Harvard research.,Empath,This feels too aggressive.,Let’s make sure it aligns with your values.,FAB,"Compliant, Logical Thinker",Detailed and rational
